ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	GLOSA 1 PORT	GLOSA 2 PORT	GLOSA 2 ENGL	GLOSA 3 PORT	GLOSS 3 ENGL	PWT	PET
475	DES	you all	~bɨa	~bɨa	*mɨ-tja	46	vocês	-	-	-	-	-	-
476	BAS	you all	~bɨa	~bɨa	*mɨ-tja	46	vocês	-	-	-	-	-	-
477	TUK	you all	~bɨsa	~bɨsa	*mɨ-tja	46	vocês	-	-	-	-	-	-
478	KAR	you all	~bɨsa	~bɨsa	*mɨ-tja	46	vocês	-	-	-	-	-	-
479	TUY	you all	~bɨa	~bɨa	*mɨ-tja	46	vocês	-	-	-	-	-	-
480	WAN	you all	~bɨha	~bɨha	*mɨ-tja	46	vocês	-	-	-	-	-	-
481	SIO	tobacco	muto	muto	*mɨtʔo	47	tabaco	-	-	-	-	-	-
482	SEK	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco	-	-	-	-	-	-
483	KOR	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco	-	-	-	-	-	-
484	MAL	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco	-	-	-	-	-	-
485	KUE	tobacco	mɨno	mɨno	*mɨtʔo	47	tabaco	-	-	-	-	-	-
486	TAN	tobacco	~biʔro	~biʔro	*mɨtʔo	47	tabaco	-	-	-	-	-	-
487	DES	tobacco	~budu	~budu	*mɨtʔo	47	tabaco	-	-	-	-	-	-
488	BAS	tobacco	~bɨʔdo	~bɨʔdo	*mɨtʔo	47	tabaco	-	-	-	-	-	-
489	TUK	tobacco	~bɨʔdo	~bɨʔdo	*mɨtʔo	47	tabaco	-	-	-	-	-	-
490	KAR	tobacco	~bɨdo	~bɨdo	*mɨtʔo	47	tabaco	-	-	-	-	-	-
491	TUY	tobacco	~bɨdo	~bɨdo	*mɨtʔo	47	tabaco	-	-	-	-	-	-
492	WAN	tobacco	~bɨʔto	~bɨʔto	*mɨtʔo	47	tabaco	-	-	-	-	-	-
493	SIO	mosquito	mɨte	mɨte	*mɨte	48	caba	-	-	-	-	-	-
494	SEK	mosquito	muʔte	muʔte	*mɨte	48	caba	-	-	-	-	-	-
495	KOR	mosquito	mɨthe	mɨthe	*mɨte	48	caba	-	-	-	-	-	-
496	MAL	mosquito	mɨte	mɨte	*mɨte	48	caba	-	-	-	-	-	-
497	KUE	mosquito	mɨne	mɨne	*mɨte	48	caba	-	-	-	-	-	-
498	TAN	mosquito	~biri	~biri	*mɨte	48	caba	-	-	-	-	-	-
499	KUB	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
500	DES	mosquito	~bɨde	~bɨde	*mɨte	48	caba	-	-	-	-	-	-
501	BAS	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
502	TUK	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
503	KAR	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
504	TUY	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
505	WAN	mosquito	~bɨte	~bɨte	*mɨte	48	caba	-	-	-	-	-	-
506	SIO	charcoal (2)	neo	neo	*neo	49	carvão	gordura (kub)	grease (kub)	-	-	-	-
507	SEK	charcoal (2)	~deo	~deo	*neo	49	carvão	gordura (kub)	grease (kub)	-	-	-	-
508	KOR	charcoal (2)	neo	neo	*neo	49	carvão	gordura (kub)	grease (kub)	-	-	-	-
509	MAL	charcoal (2)	neo	neo	*neo	49	carvão	gordura (kub)	grease (kub)	-	-	-	-
510	KUB	charcoal (2)	~deo	~deo	*neo	49	carvão	gordura (kub)	grease (kub)	-	-	-	-
511	SIO	buriti palm	neʔe	neʔe	*neʔe	50	buriti	-	-	-	-	-	-
512	SEK	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti	-	-	-	-	-	-
513	KOR	buriti palm	neʔe	neʔe	*neʔe	50	buriti	-	-	-	-	-	-
514	KUB	buriti palm	~dei	~dei	*neʔe	50	buriti	-	-	-	-	-	-
515	DES	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti	-	-	-	-	-	-
516	BAS	buriti palm	~ree	~ree	*neʔe	50	buriti	-	-	-	-	-	-
517	TUK	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti	-	-	-	-	-	-
518	KAR	buriti palm	~dee	~dee	*neʔe	50	buriti	-	-	-	-	-	-
519	WAN	buriti palm	~daʔa	~daʔa	*neʔe	50	buriti	-	-	-	-	-	-
520	TAN	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
521	DES	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
522	BAS	charcoal (1)	~riti	~riti	*nitti	51	carvão	-	-	-	-	-	-
523	TUK	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
524	KAR	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
525	TUY	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
526	WAN	charcoal (1)	~diti	~diti	*nitti	51	carvão	-	-	-	-	-	-
527	SIO	stop	nɨka	nɨka	*nɨkʔ-	52	parar	-	-	-	-	-	-
528	SEK	stop	dɨ̃ka	dɨ̃ka	*nɨkʔ-	52	parar	-	-	-	-	-	-
529	KOR	stop	nɨkha	nɨkha	*nɨkʔ-	52	parar	-	-	-	-	-	-
530	MAL	stop	nɨka	nɨka	*nɨkʔ-	52	parar	-	-	-	-	-	-
531	KUB	stop	~dú	~dú	*nɨkʔ-	52	parar	-	-	-	-	-	-
532	DES	stop	~dugu	~dugu	*nɨkʔ-	52	parar	-	-	-	-	-	-
533	BAS	stop	~rɨgo	~rɨgo	*nɨkʔ-	52	parar	-	-	-	-	-	-
534	TUK	stop	~dɨʔka	~dɨʔka	*nɨkʔ-	52	parar	-	-	-	-	-	-
535	KAR	stop	~dɨka	~dɨka	*nɨkʔ-	52	parar	-	-	-	-	-	-
536	TUY	stop	~duku	~duku	*nɨkʔ-	52	parar	-	-	-	-	-	-
537	MAL	penis	noa	noa	*no-	53	pênis	-	-	-	-	-	-
538	KUE	penis	noni	noni	*no-	53	pênis	-	-	-	-	-	-
539	TAN	penis	rũri	rũri	*no-	53	pênis	-	-	-	-	-	-
540	KUB	penis	~doe	~doe	*no-	53	pênis	-	-	-	-	-	-
541	TUK	penis	~dudi	~dudi	*no-	53	pênis	-	-	-	-	-	-
542	KAR	penis	~dudi	~dudi	*no-	53	pênis	-	-	-	-	-	-
543	TUY	penis	sejua	sejua	*no-	53	pênis	-	-	-	-	-	-
544	WAN	penis	~dudɨ	~dudɨ	*no-	53	pênis	-	-	-	-	-	-
545	SIO	to cry	oi	oi	*o-	54	chorar	-	-	-	-	-	-
546	SEK	to cry	oi	oi	*o-	54	chorar	-	-	-	-	-	-
547	KOR	to cry	oi	oi	*o-	54	chorar	-	-	-	-	-	-
548	MAL	to cry	oi	oi	*o-	54	chorar	-	-	-	-	-	-
549	KUE	to cry	?	?	*o-	54	chorar	-	-	-	-	-	-
550	KUB	to cry	o	o	*o-	54	chorar	-	-	-	-	-	-
551	DES	to cry	oti	oti	*o-	54	chorar	-	-	-	-	-	-
552	YUP	to cry	oti	oti	*o-	54	chorar	-	-	-	-	-	-
553	BAS	to cry	oti	oti	*o-	54	chorar	-	-	-	-	-	-
554	KAR	to cry	oti	oti	*o-	54	chorar	-	-	-	-	-	-
555	TUY	to cry	uti	uti	*o-	54	chorar	-	-	-	-	-	-
556	WAN	to cry	ti	ti	*o-	54	chorar	-	-	-	-	-	-
557	SIO	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
558	SEK	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
559	KOR	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
560	MAL	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
561	KUE	bat	hoijo	hoijo	*ojo	55	morcego	-	-	-	-	-	-
562	TAN	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
563	KUB	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
564	DES	bat	ojo	ojo	*ojo	55	morcego	-	-	-	-	-	-
565	BAS	bat	oco	oco	*ojo	55	morcego	-	-	-	-	-	-
566	TUK	bat	oso	oso	*ojo	55	morcego	-	-	-	-	-	-
567	KAR	bat	oso	oso	*ojo	55	morcego	-	-	-	-	-	-
568	TUY	bat	oso	oso	*ojo	55	morcego	-	-	-	-	-	-
569	PLR	bat	oso	oso	*ojo	55	morcego	-	-	-	-	-	-
570	SIO	water	oko	oko	*okko	56	água	-	-	-	-	-	-
571	SEK	water	oko	oko	*okko	56	água	-	-	-	-	-	-
572	KOR	water	okho	okho	*okko	56	água	-	-	-	-	-	-
573	MAL	water	oko	oko	*okko	56	água	-	-	-	-	-	-
574	KUE	water	kotapu	kotapu	*okko	56	água	-	-	-	-	-	-
575	TAN	water	oko	oko	*okko	56	água	-	-	-	-	-	-
576	KUB	water	oko	oko	*okko	56	água	-	-	-	-	-	-
577	DES	water	deko	deko	*okko	56	água	-	-	-	-	-	-
578	BAS	water	oko	oko	*okko	56	água	-	-	-	-	-	-
579	TUK	water	oko	oko	*okko	56	água	-	-	-	-	-	-
580	KAR	water	oko	oko	*okko	56	água	-	-	-	-	-	-
581	TUY	water	oko	oko	*okko	56	água	-	-	-	-	-	-
582	WAN	water	ko	ko	*okko	56	água	-	-	-	-	-	-
583	SIO	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
584	SEK	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
585	KOR	plant	othe	othe	*otte	57	planta	-	-	-	-	-	-
586	MAL	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
587	TAN	plant	hoto	hoto	*otte	57	planta	-	-	-	-	-	-
588	KUB	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
589	DES	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
590	BAS	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
591	TUK	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
592	KAR	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
593	TUY	plant	ote	ote	*otte	57	planta	-	-	-	-	-	-
594	WAN	plant	toa	toa	*otte	57	planta	-	-	-	-	-	-
595	SIO	larva	pʔeko	pʔeko	*pʔekko	58	larva	-	-	-	-	-	-
596	SEK	larva	peko	peko	*pʔekko	58	larva	-	-	-	-	-	-
597	KOR	larva	pekho	pekho	*pʔekko	58	larva	-	-	-	-	-	-
598	MAL	larva	beku	beku	*pʔekko	58	larva	-	-	-	-	-	-
599	DES	larva	beka	beka	*pʔekko	58	larva	-	-	-	-	-	-
600	BAS	larva	beko	beko	*pʔekko	58	larva	-	-	-	-	-	-
601	TUK	larva	beko	beko	*pʔekko	58	larva	-	-	-	-	-	-
602	KAR	larva	beko	beko	*pʔekko	58	larva	-	-	-	-	-	-
603	SIO	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
604	KOR	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
605	MAL	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
606	KUE	spider	hehe	hehe	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
607	KUB	spider	~pɨpɨ	~pɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
608	DES	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
609	YUP	spider	bɨbɨ	bɨbɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
610	BAS	spider	bɨhɨ	bɨhɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
611	TUK	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
612	KAR	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
613	TUY	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
614	WAN	spider	wɨpɨ	wɨpɨ	*pʔɨpɨ	59	aranha	-	-	-	-	-	-
615	KUE	termite	poru	poru	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
616	TAN	termite	butu	butu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
617	DES	termite	budu	budu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
618	BAS	termite	butu	butu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
619	TUK	termite	butu	butu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
620	KAR	termite	butu	butu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
621	WAN	termite	butu	butu	*pʔutu	60	cupim	-	-	-	-	-	*pʔutu
622	SIO	people	pʔã-i	pʔã+i	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
623	SEK	people	pã-i	pã+i	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
624	KOR	people	pã-i	pã+i	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
625	MAL	people	~ba-i	~ba+i	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
626	KUE	people	matarɨ	matarɨ	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
627	TAN	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
628	KUB	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
629	YUP	people	~batsa	~batsa	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
630	BAS	people	~baca	~baca	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
631	TUK	people	~basa	~basa	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
632	KAR	people	~basa	~basa	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
633	TUY	people	baso	baso	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
634	WAN	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)	nós inclusivo (kub)	we inclusive (kub)	-	-	-	-
635	MAL	dance	tɨte	tɨte	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
636	TAN	dance	baja	baja	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
637	KUB	dance	baja	baja	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
638	DES	dance	baja	baja	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
639	BAS	dance	baca	baca	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
640	TUK	dance	basa	basa	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
641	KAR	dance	basa	basa	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
642	TUY	dance	basa	basa	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
643	WAN	dance	basa	basa	*pʔaja	62	dançar	ritualized songs (kub)	-	-	-	-	-
644	KUB	fishing net	pápi	pápi	*pʔapi	63	rede de pesca	-	-	-	-	-	*pʔapi
645	BAS	fishing net	bahi	bahi	*pʔapi	63	rede de pesca	-	-	-	-	-	*pʔapi
646	KAR	fishing net	bapi	bapi	*pʔapi	63	rede de pesca	-	-	-	-	-	*pʔapi
647	TUY	fishing net	bapi	bapi	*pʔapi	63	rede de pesca	-	-	-	-	-	*pʔapi
648	SIO	inga (fruit sp.)	pʔene	pʔene	*pʔene	64	ingá	-	-	-	-	-	-
649	SEK	inga (fruit sp.)	pedẽ	pedẽ	*pʔene	64	ingá	-	-	-	-	-	-
650	KOR	inga (fruit sp.)	pene	pene	*pʔene	64	ingá	-	-	-	-	-	-
651	MAL	inga (fruit sp.)	mene	mene	*pʔene	64	ingá	-	-	-	-	-	-
652	KUE	inga (fruit sp.)	meʔne	meʔne	*pʔene	64	ingá	-	-	-	-	-	-
653	KUB	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá	-	-	-	-	-	-
654	DES	inga (fruit sp.)	~behe	~behe	*pʔene	64	ingá	-	-	-	-	-	-
655	BAS	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá	-	-	-	-	-	-
656	TUK	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá	-	-	-	-	-	-
657	KAR	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá	-	-	-	-	-	-
658	WAN	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá	-	-	-	-	-	-
659	SIO	duck	pʔete	pʔete	*pʔete	65	pato	-	-	-	-	-	-
660	SEK	duck	pete	pete	*pʔete	65	pato	-	-	-	-	-	-
661	KOR	duck	pete	pete	*pʔete	65	pato	-	-	-	-	-	-
662	KUB	duck	bede	bede	*pʔete	65	pato	-	-	-	-	-	-
663	SIO	chili	pʔia	pʔia	*pʔia	66	pimenta	-	-	-	-	-	-
664	SEK	chili	pia	pia	*pʔia	66	pimenta	-	-	-	-	-	-
665	KOR	chili	pia	pia	*pʔia	66	pimenta	-	-	-	-	-	-
666	MAL	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
667	KUE	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
668	TAN	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
669	KUB	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
670	DES	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
671	BAS	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
672	TUK	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
673	KAR	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
674	TUY	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
675	WAN	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
676	PLR	chili	bia	bia	*pʔia	66	pimenta	-	-	-	-	-	-
677	KUB	squeeze	pipo	pipo	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
678	DES	squeeze	bipi	bipi	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
679	BAS	squeeze	buhe	buhe	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
680	TUK	squeeze	bipe	bipe	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
681	TUY	squeeze	~wayia	~wayia	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
682	WAN	squeeze	wipe	wipe	*pʔipo	67	espremer	-	-	-	-	-	*pʔipo
683	KUE	elder	bɨikɨ	bɨikɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
684	KUB	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
685	DES	elder	bɨgɨ	bɨgɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
686	BAS	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
687	TUK	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
688	KAR	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
689	TUY	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
690	WAN	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho	-	-	-	-	-	-
691	SIO	white	pʔo	pʔo	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
692	SEK	white	po	po	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
693	KOR	white	po	po	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
694	MAL	white	bo	bo	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
695	KUE	white	po(le)	po	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
696	TAN	white	boi	boi	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
697	KUB	white	bo	bo	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
698	DES	white	bode	bode	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
699	BAS	white	boti	boti	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
700	TUK	white	buti	buti	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
701	KAR	white	boti	boti	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
702	TUY	white	buti	buti	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
703	WAN	white	boʔta	boʔta	*pʔo-	69	branco	whitewash (wan)	-	-	-	-	-
704	SEK	toad sp.	hoho	hoho	*pʔopa	70	sapo	-	-	-	-	-	-
705	KOR	toad sp.	hoho	hoho	*pʔopa	70	sapo	-	-	-	-	-	-
706	KUB	toad sp.	popo	popo	*pʔopa	70	sapo	-	-	-	-	-	-
707	DES	toad sp.	moma	moma	*pʔopa	70	sapo	-	-	-	-	-	-
708	BAS	toad sp.	momo	momo	*pʔopa	70	sapo	-	-	-	-	-	-
709	TUK	toad sp.	moʔmo	moʔmo	*pʔopa	70	sapo	-	-	-	-	-	-
710	WAN	toad sp.	waʔmu	waʔmu	*pʔopa	70	sapo	-	-	-	-	-	-
711	SEK	break	hoʔa	hoʔa	*pʔope	71	quebrar	-	-	-	-	-	-
712	KOR	break	hũhe	hũhe	*pʔope	71	quebrar	-	-	-	-	-	-
713	MAL	break	hoa	hoa	*pʔope	71	quebrar	-	-	-	-	-	-
714	KUB	break	pope	pope	*pʔope	71	quebrar	-	-	-	-	-	-
715	DES	break	bohe	bohe	*pʔope	71	quebrar	-	-	-	-	-	-
716	BAS	break	bohe	bohe	*pʔope	71	quebrar	-	-	-	-	-	-
717	TUK	break	bope	bope	*pʔope	71	quebrar	-	-	-	-	-	-
718	TUY	break	paa	paa	*pʔope	71	quebrar	-	-	-	-	-	-
719	WAN	break	poʔa	poʔa	*pʔope	71	quebrar	-	-	-	-	-	-
720	SIO	urucum (achiote)	pʔõsa	pʔõsa	*pʔõsa	72	urucm	-	-	-	-	-	-
721	SEK	urucum (achiote)	pʔõsa	pʔõsa	*pʔõsa	72	urucm	-	-	-	-	-	-
722	KOR	urucum (achiote)	pũsa	pũsa	*pʔõsa	72	urucm	-	-	-	-	-	-
723	MAL	urucum (achiote)	bosa	bosa	*pʔõsa	72	urucm	-	-	-	-	-	-
724	KUE	urucum (achiote)	muhia	muhia	*pʔõsa	72	urucm	-	-	-	-	-	-
725	TAN	urucum (achiote)	~buha	~buha	*pʔõsa	72	urucm	-	-	-	-	-	-
726	KUB	urucum (achiote)	~buha	~buha	*pʔõsa	72	urucm	-	-	-	-	-	-
727	DES	urucum (achiote)	~busa	~busa	*pʔõsa	72	urucm	-	-	-	-	-	-
728	BAS	urucum (achiote)	~buca	~buca	*pʔõsa	72	urucm	-	-	-	-	-	-
729	TUK	urucum (achiote)	~bosa	~bosa	*pʔõsa	72	urucm	-	-	-	-	-	-
730	KAR	urucum (achiote)	~busa	~busa	*pʔõsa	72	urucm	-	-	-	-	-	-
731	WAN	urucum (achiote)	~basi sõa	~basi_sõa	*pʔõsa	72	urucm	-	-	-	-	-	-
732	KUE	aracu fish	polekia	polekia	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
733	TAN	aracu fish	botaka	botaka	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
734	KUB	aracu fish	bodika	bodika	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
735	DES	aracu fish	bodeka	bodeka	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
736	BAS	aracu fish	bodeka	bodeka	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
737	TUK	aracu fish	boʔtea	boʔtea	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
738	KAR	aracu fish	boteka	boteka	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
739	WAN	aracu fish	boʔtea	boʔtea	*pʔotʔika	73	aracu fish	-	-	-	-	-	*pʔotʔika
740	SIO	swell	huhu	huhu	*pʔupi	74	inchação	-	-	-	-	-	-
741	MAL	swell	huhu	huhu	*pʔupi	74	inchação	-	-	-	-	-	-
742	TAN	swell	pĩpi	pĩpi	*pʔupi	74	inchação	-	-	-	-	-	-
743	DES	swell	bihi	bihi	*pʔupi	74	inchação	-	-	-	-	-	-
744	BAS	swell	~bihi	~bihi	*pʔupi	74	inchação	-	-	-	-	-	-
745	TUK	swell	bipi	bipi	*pʔupi	74	inchação	-	-	-	-	-	-
746	TUY	swell	bipi	bipi	*pʔupi	74	inchação	-	-	-	-	-	-
747	WAN	swell	wipi	wipi	*pʔupi	74	inchação	-	-	-	-	-	-
748	SIO	father	hakɨ	hakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
749	SEK	father	hakɨ	hakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
750	KOR	father	hakhɨ	hakhɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
751	MAL	father	hakɨ	hakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
752	KUE	father	hakɨ	hakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
753	TAN	father	paki	paki	*pa-kɨ	75	pai	-	-	-	-	-	-
754	KUB	father	pakɨ	pakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
755	DES	father	pagɨ	pagɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
756	BAS	father	hakɨ	hakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
757	TUK	father	pakɨ	pakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
758	KAR	father	pakɨ	pakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
759	TUY	father	pakɨ	pakɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
760	WAN	father	phɨkɨ	phɨkɨ	*pa-kɨ	75	pai	-	-	-	-	-	-
761	SIO	big	hai	hai	*pahi	76	grande	-	-	-	-	-	-
762	SEK	big	hai	hai	*pahi	76	grande	-	-	-	-	-	-
763	MAL	big	hai	hai	*pahi	76	grande	-	-	-	-	-	-
764	BAS	big	hai	hai	*pahi	76	grande	-	-	-	-	-	-
765	TUK	big	pahi	pahi	*pahi	76	grande	-	-	-	-	-	-
766	KAR	big	pai	pai	*pahi	76	grande	-	-	-	-	-	-
767	TUY	big	pai	pai	*pahi	76	grande	-	-	-	-	-	-
768	PLR	big	pahi	pahi	*pahi	76	grande	-	-	-	-	-	-
769	SIO	armadillo	hãmu	hãmu	*pãmu	77	tatu	-	-	-	-	-	-
770	SEK	armadillo	hãmo	hãmo	*pãmu	77	tatu	-	-	-	-	-	-
771	KOR	armadillo	hamu	hamu	*pãmu	77	tatu	-	-	-	-	-	-
772	KUE	armadillo	hamu	hamu	*pãmu	77	tatu	-	-	-	-	-	-
773	TAN	armadillo	~pabu	~pabu	*pãmu	77	tatu	-	-	-	-	-	-
774	KUB	armadillo	~pabu	~pabu	*pãmu	77	tatu	-	-	-	-	-	-
775	DES	armadillo	~pabo	~pabo	*pãmu	77	tatu	-	-	-	-	-	-
776	BAS	armadillo	~habo	~habo	*pãmu	77	tatu	-	-	-	-	-	-
777	TUK	armadillo	~pabo	~pabo	*pãmu	77	tatu	-	-	-	-	-	-
